"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","confidenceLocality","selectionCategory","Nome_UC"
,,"201",,"US","US",,"PRESERVED_SPECIMEN","US 2464223","4703","W. D. Clayton & G. Eiten",,,,,,,,,"Brazil",,"São Paulo",,,"Ilha Comprida, southern shore. Mun. Cananeia.",,,"-25.05","-47.9083",,,,,,,,"Paspalum vaginatum","Poaceae","Paspalum",,"Sw.",,,,,,,,,,,,,,,"US04226540","Splink","US",,"Clayton, W.D.","4703",,,,"Eiten, G.","Clayton",,"brazil","sao paulo","cananeia","ilha comprida",,"locality","brazil_sao paulo_cananeia","brazil_sao paulo_cananeia",-25.024888,-47.952513,"county","Paspalum vaginatum","Sw.","possibly_ok","Poaceae","Paspalum vaginatum","Sw.","species","name accepted","bfo-13509",,,"Paspalum vaginatum Sw.","Paspalum","Poaceae","Paspalum vaginatum",1292564,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge",TRUE,-25.05,-47.9083,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"201",,"US","US",,"PRESERVED_SPECIMEN","US 3007003","4705","W. D. Clayton & G. Eiten",,,,,,,,,"Brazil",,"São Paulo",,,"Ilha Comprida, southern shore. Mun. Cananeia.",,,"-25.05","-47.9083",,,,,,,,"Paspalum pumilum","Poaceae","Paspalum",,"Nees",,,,,,,,,,,,,,,"US04274998","Splink","US",,"Clayton, W.D.","4705",,,,"Eiten, G.","Clayton",,"brazil","sao paulo","cananeia","ilha comprida",,"locality","brazil_sao paulo_cananeia","brazil_sao paulo_cananeia",-25.024888,-47.952513,"county","Paspalum pumilum","Nees","possibly_ok","Poaceae","Paspalum pumilum","Nees","species","name accepted","bfo-13498",,,"Paspalum pumilum Nees","Paspalum","Poaceae","Paspalum pumilum",1284461,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge",TRUE,-25.05,-47.9083,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"201",,"US","US",,"PRESERVED_SPECIMEN","US 3007001","4701","W. D. Clayton & G. Eiten",,,,,,,,,"Brazil",,"São Paulo",,,"Ilha Comprida, southern shore. Mun. Cananeia.",,,"-25.05","-47.9083",,,,,,,,"Paspalum arenarium","Poaceae","Paspalum",,"Schrad.",,,,,,,,,,,,,,,"US04267365","Splink","US",,"Clayton, W.D.","4701",,,,"Eiten, G.","Clayton",,"brazil","sao paulo","cananeia","ilha comprida",,"locality","brazil_sao paulo_cananeia","brazil_sao paulo_cananeia",-25.024888,-47.952513,"county","Paspalum arenarium","Schrad.","possibly_ok","Poaceae","Paspalum arenarium","Schrad.","species","name accepted","bfo-13435",,,"Paspalum arenarium Schrad.","Paspalum","Poaceae","Paspalum arenarium",1284541,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge",TRUE,-25.05,-47.9083,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"201",,"US","US",,"PRESERVED_SPECIMEN","US 2464473","4704","W. D. Clayton & G. Eiten",,,,,,,,,"Brazil",,"São Paulo",,,"Ilha Comprida, southern shore. Mun. Cananeia.",,,"-25.05","-47.9",,,,,,,,"Oryza sativa","Poaceae","Oryza",,"L.",,,,,,,,,,,,,,,"US04184952","Splink","US",,"Clayton, W.D.","4704",,,,"Eiten, G.","Clayton",,"brazil","sao paulo","cananeia","ilha comprida",,"locality","brazil_sao paulo_cananeia","brazil_sao paulo_cananeia",-25.024888,-47.952513,"county","Oryza sativa","L.","possibly_ok","Poaceae","Oryza sativa","L.","species","name accepted","bfo-86906",,,"Oryza sativa L.","Oryza","Poaceae","Oryza sativa",1286220,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge",TRUE,-25.05,-47.9,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","76533","44961","Hatschbach, G",,,,,"11",,,,"Brazil",,"São Paulo","Iguape","Iguape","Ilha Comprida.",,,"-24.700001","-47.549999","55628",,,,"Balslev, H",,,"Juncus maritimus","Juncaceae","Juncus",,"Lam.",,,,,,,,"Juncus maritimus",,,,,,,"MBM076533","Splink","MBM",,"Hatschbach, G.","44961",,"Balslev, H.",,,"Hatschbach",,"brazil","sao paulo","iguape","ilha comprida",,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Juncus maritimus","Lam.","possibly_ok",,"Juncus maritimus","Lam.","species","not found",,,,"Juncus maritimus Lam.","Juncus","Juncaceae","Juncus maritimus",1528031,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,,"no_cannot_check","no_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"201",,"US","US",,"PRESERVED_SPECIMEN","US 2604639","4702","W. D. Clayton & G. Eiten",,,,,,,,,"Brazil",,"São Paulo",,,"Ilha Comprida, southern shore. Mun. Cananeia.",,,"-25.05","-47.9083",,,,,,,,"Homolepis glutinosa","Poaceae","Homolepis",,"(Sw.) Zuloaga & Soderstr.",,,,,,,,,,,,,,,"US04234132","Splink","US",,"Clayton, W.D.","4702",,,,"Eiten, G.","Clayton",,"brazil","sao paulo","cananeia","ilha comprida",,"locality","brazil_sao paulo_cananeia","brazil_sao paulo_cananeia",-25.024888,-47.952513,"county","Homolepis glutinosa","(Sw.) Zuloaga & Soderstr.","possibly_ok","Poaceae","Homolepis glutinosa","(Sw.) Zuloaga & Soderstr.","species","name accepted","bfo-13262",,,"Homolepis glutinosa (Sw.) Zuloaga & Soderstr.","Homolepis","Poaceae","Homolepis glutinosa",1291271,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge",TRUE,-25.05,-47.9083,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"201",,"US","US",,"PRESERVED_SPECIMEN","US 2464227","4695","W. D. Clayton & G. Eiten",,,,,,,,,"Brazil",,"São Paulo",,,"Ilha Comprida. Southern tip along bay channel ""Barra de Cananeia"". Mun. Cananeia.",,,"-25.05","-47.9083",,,,,,,,"Eustachys retusa","Poaceae","Eustachys",,"(Lag.) Kunth",,,,,,,,,,,,,,,"US04192117","Splink","US",,"Clayton, W.D.","4695",,,,"Eiten, G.","Clayton",,"brazil","sao paulo","cananeia","ilha comprida",,"locality","brazil_sao paulo_cananeia","brazil_sao paulo_cananeia",-25.024888,-47.952513,"county","Eustachys retusa","(Lag.) Kunth","possibly_ok","Poaceae","Eustachys retusa","(Lag.) Kunth","species","name accepted","bfo-13239",,,"Eustachys retusa (Lag.) Kunth","Eustachys","Poaceae","Eustachys retusa",1289565,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge",TRUE,-25.05,-47.9083,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"259",,"UFRGS","ICN",,,"124554","7479","Sobral, M; Attili, D",,,,,,,,,"Brasil",,"SP","Iguapé","Iguapé","Estação Ecológica da Juréia",,,"-24.700001","-47.549999","55628","0","0",,,,,"Eugenia cf. xiriricana","Myrtaceae","Eugenia",,"Mattos",,,,,,,,,,,,,,,,"Splink","ICN",,"Sobral, M.","7479",,,,"Attili, D.","Sobral",,"brazil","sao paulo","iguape","estacao ecologica da jureia",,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county","Eugenia xiriricana","Mattos","conferre","Myrtaceae","Eugenia xiriricana","Mattos","species","name accepted","bfo-10570",,,"Eugenia xiriricana Mattos","Eugenia","Myrtaceae","Eugenia xiriricana",1321915,"brazil_sao paulo_iguape","Brazil","São Paulo","Iguape",,"ibge",TRUE,-24.700001,-47.549999,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"2",,"UNICAMP","UEC",,,"149300","434","Urbanetz, C",,,,,,,,,"Brazil",,"São Paulo","Cananéia","Cananéia","Km 31 da rodovia SP-226, Fazenda Folha Larga.",,,"-24.885278","-47.931944",,"-24.885278","-47.931944",,"Sobral, M",,,"Eugenia oblongata","Myrtaceae","Eugenia",,"Mattos & Legrand",,,,,,,,,,,,,,,"UEC023583","Splink","UEC",,"Urbanetz, C.","434",,"Sobral, M.",,,"Urbanetz",,"brazil","sao paulo","cananeia","km 31 da rodovia sp-226, fazenda folha larga","km 31 da rodovia sp-226","locality","brazil_sao paulo_cananeia","brazil_sao paulo_cananeia",-25.024888,-47.952513,"county","Eugenia disperma","Vell.","possibly_ok","Myrtaceae","Eugenia disperma","Vell.","species","author misspelled|replaced synonym","bfo-10385","Eugenia disperma","Vell.","Eugenia disperma Vell.","Eugenia","Myrtaceae","Eugenia disperma",1099871,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge",TRUE,-24.885278,-47.931944,"coord_original","seconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"201",,"US","US",,"PRESERVED_SPECIMEN","US 2464503","4708","W. D. Clayton & G. Eiten",,,,,,,,,"Brazil",,"São Paulo",,,"Ilha Comprida, southern shore. Mun. Cananeia.",,,"-25.05","-47.9083",,,,,,,,"Eragrostis trichocolea","Poaceae","Eragrostis",,"Hack. & Arechav.",,,,,,,,,,,,,,,"US04377409","Splink","US",,"Clayton, W.D.","4708",,,,"Eiten, G.","Clayton",,"brazil","sao paulo","cananeia","ilha comprida",,"locality","brazil_sao paulo_cananeia","brazil_sao paulo_cananeia",-25.024888,-47.952513,"county","Eragrostis trichocolea","Hack. & Arechav.","possibly_ok","Poaceae","Eragrostis trichocolea","Hack. & Arechav.","species","name accepted","bfo-13222",,,"Eragrostis trichocolea Hack. & Arechav.","Eragrostis","Poaceae","Eragrostis trichocolea",1290054,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge",TRUE,-25.05,-47.9083,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
,,"201",,"US","US",,"PRESERVED_SPECIMEN","US 2464492","4690","W. D. Clayton & G. Eiten",,,,,,,,,"Brazil",,"São Paulo",,,"Ilha Comprida. Southern tip along bay channel ""Barra de Cananeia"". Mun. Cananeia.",,,"-25.05","-47.9",,,,,,,,"Eragrostis ciliaris","Poaceae","Eragrostis",,"(L.) R. Br.",,,,,,,,,,,,,,,"US04374225","Splink","US",,"Clayton, W.D.","4690",,,,"Eiten, G.","Clayton",,"brazil","sao paulo","cananeia","ilha comprida",,"locality","brazil_sao paulo_cananeia","brazil_sao paulo_cananeia",-25.024888,-47.952513,"county","Eragrostis ciliaris","(L.) R.Br.","possibly_ok","Poaceae","Eragrostis ciliaris","(L.) R.Br.","species","author misspelled","bfo-13204",,,"Eragrostis ciliaris (L.) R.Br.","Eragrostis","Poaceae","Eragrostis ciliaris",1284664,"brazil_sao paulo_cananeia","Brazil","São Paulo","Cananéia",,"ibge",TRUE,-25.05,-47.9,"coord_original","miliseconds","high","check_local.2municip.","ok_county",,FALSE,"ok_dist","full_name_match","Low","coord_original","ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE"
